timestamp,duration_hours,import_price_usd_per_mwh,export_price_usd_per_mwh,load_1_load_demand_mw
2026-06-01T00:00:00,1.0,35.0,35.0,1.8
2026-06-01T01:00:00,1.0,35.0,35.0,1.7
2026-06-01T02:00:00,1.0,32.0,32.0,1.6
2026-06-01T03:00:00,1.0,30.0,30.0,1.6
2026-06-01T04:00:00,1.0,32.0,32.0,1.7
2026-06-01T05:00:00,1.0,38.0,38.0,1.9
2026-06-01T06:00:00,1.0,50.0,50.0,2.4
2026-06-01T07:00:00,1.0,60.0,60.0,2.8
2026-06-01T08:00:00,1.0,62.0,62.0,3.0
2026-06-01T09:00:00,1.0,50.0,50.0,2.7
2026-06-01T10:00:00,1.0,45.0,45.0,2.4
2026-06-01T11:00:00,1.0,42.0,42.0,2.3
2026-06-01T12:00:00,1.0,40.0,40.0,2.4
2026-06-01T13:00:00,1.0,38.0,38.0,2.3
2026-06-01T14:00:00,1.0,40.0,40.0,2.4
2026-06-01T15:00:00,1.0,45.0,45.0,2.6
2026-06-01T16:00:00,1.0,55.0,55.0,2.9
2026-06-01T17:00:00,1.0,80.0,80.0,3.3
2026-06-01T18:00:00,1.0,95.0,95.0,3.8
2026-06-01T19:00:00,1.0,100.0,100.0,4.0
2026-06-01T20:00:00,1.0,90.0,90.0,3.7
2026-06-01T21:00:00,1.0,70.0,70.0,3.2
2026-06-01T22:00:00,1.0,50.0,50.0,2.6
2026-06-01T23:00:00,1.0,40.0,40.0,2.1
2026-06-02T00:00:00,1.0,34.0,34.0,1.8
2026-06-02T01:00:00,1.0,32.0,32.0,1.7
2026-06-02T02:00:00,1.0,30.0,30.0,1.6
2026-06-02T03:00:00,1.0,28.0,28.0,1.5
2026-06-02T04:00:00,1.0,30.0,30.0,1.6
2026-06-02T05:00:00,1.0,36.0,36.0,1.9
2026-06-02T06:00:00,1.0,48.0,48.0,2.3
2026-06-02T07:00:00,1.0,58.0,58.0,2.7
2026-06-02T08:00:00,1.0,65.0,65.0,3.1
2026-06-02T09:00:00,1.0,52.0,52.0,2.8
2026-06-02T10:00:00,1.0,46.0,46.0,2.5
2026-06-02T11:00:00,1.0,43.0,43.0,2.4
2026-06-02T12:00:00,1.0,41.0,41.0,2.5
2026-06-02T13:00:00,1.0,39.0,39.0,2.4
2026-06-02T14:00:00,1.0,42.0,42.0,2.5
2026-06-02T15:00:00,1.0,48.0,48.0,2.7
2026-06-02T16:00:00,1.0,60.0,60.0,3.0
2026-06-02T17:00:00,1.0,85.0,85.0,3.5
2026-06-02T18:00:00,1.0,105.0,105.0,4.0
2026-06-02T19:00:00,1.0,110.0,110.0,4.2
2026-06-02T20:00:00,1.0,98.0,98.0,3.9
2026-06-02T21:00:00,1.0,75.0,75.0,3.3
2026-06-02T22:00:00,1.0,52.0,52.0,2.7
2026-06-02T23:00:00,1.0,42.0,42.0,2.2
