timestamp,duration_hours,import_price_usd_per_mwh,export_price_usd_per_mwh,solar_1_available_mw,hydro_1_inflow_m3s
2026-01-01T00:00:00,1.0,40.0,58.0,0.0,8.0
2026-01-01T01:00:00,1.0,40.0,62.0,0.0,8.0
2026-01-01T02:00:00,1.0,40.0,70.0,0.0,7.5
2026-01-01T03:00:00,1.0,40.0,84.0,0.0,7.5
2026-01-01T04:00:00,1.0,40.0,96.0,0.0,7.0
2026-01-01T05:00:00,1.0,40.0,108.0,0.0,7.0
2026-01-01T06:00:00,1.0,40.0,92.0,0.2,6.5
2026-01-01T07:00:00,1.0,40.0,76.0,0.8,6.5
2026-01-01T08:00:00,1.0,40.0,68.0,1.8,6.0
2026-01-01T09:00:00,1.0,40.0,64.0,2.9,6.0
2026-01-01T10:00:00,1.0,40.0,66.0,3.8,5.5
2026-01-01T11:00:00,1.0,40.0,72.0,4.4,5.5
2026-01-01T12:00:00,1.0,40.0,78.0,4.6,5.5
2026-01-01T13:00:00,1.0,40.0,86.0,4.2,5.5
2026-01-01T14:00:00,1.0,40.0,102.0,3.3,6.0
2026-01-01T15:00:00,1.0,40.0,118.0,2.1,6.0
2026-01-01T16:00:00,1.0,40.0,132.0,1.0,6.5
2026-01-01T17:00:00,1.0,40.0,145.0,0.3,6.5
2026-01-01T18:00:00,1.0,40.0,138.0,0.0,7.0
2026-01-01T19:00:00,1.0,40.0,116.0,0.0,7.0
